time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429809789	96217	-161.526	-87.9466	-172.959	0.183413	1.18646	-0.0243862	-9.68067	0.100591	-0.196392	
1429809789	158461	-160.979	-87.9603	-173.497	0.181983	0.293761	0.172337	-9.63756	0.0383203	-0.124541	
1429809789	196155	-161.11	-87.9565	-173.363	0.0596469	-0.0103443	-0.284082	-9.69983	0.0383203	-0.158071	
1429809789	246335	-160.894	-87.9824	-173.575	0.175632	0.225116	-0.0405746	-9.64235	0.110171	-0.210762	
1429809789	296151	-160.5	-88.0035	-173.963	0.0992883	0.675387	0.343437	-9.65672	0.0574805	-0.129331	
1429809789	346522	-160.57	-88.0163	-173.889	0.154555	0.212839	0.280395	-9.62319	0.0670606	-0.105381	
1429809789	396208	-160.677	-88.0203	-173.778	0.232403	0.0547009	-0.780445	-9.62319	0.0718506	-0.167651	
1429809789	446329	-161.054	-88.0337	-173.397	0.0203499	-0.0989443	-0.54346	-9.73815	0.0622705	-0.186812	
1429809789	496195	-161.375	-88.0667	-173.073	0.0650332	0.415721	-1.02108	-9.62319	0.0766406	-0.124541	
1429809789	546376	-161.377	-88.0718	-173.069	0.0669514	0.360145	-0.064306	-9.6663	0.100591	-0.138911	
1429809789	596236	-161.401	-88.0768	-173.041	-0.0624849	-0.269345	0.141553	-9.6663	0.0766406	-0.158071	
1429809789	646265	-160.921	-88.081	-173.52	-0.0197871	-0.0649568	0.79245	-9.58008	0.0958008	-0.129331	
1429809789	696198	-160.448	-88.075	-173.984	0.23809	0.0924716	-0.178277	-9.6663	0.114961	-0.148491	
1429809789	746405	-160.01	-88.0947	-174.418	0.158204	0.403323	0.0456446	-9.67109	0.0622705	-0.105381	
1429809789	796216	-159.986	-88.0946	-174.437	-0.000772772	0.404808	-0.161387	-9.67588	0.0479004	-0.129331	
1429809789	846299	-160.155	-88.1008	-174.263	0.0855584	0.227914	-0.208697	-9.68067	0.0670606	-0.162861	
1429809789	896243	-160.592	-88.1213	-173.821	0.137158	0.218473	-0.251323	-9.62798	0.0670606	-0.100591	
1429809789	946437	-161.071	-88.1264	-173.342	-0.0391654	0.256792	-0.386543	-9.58008	0.100591	-0.148491	
1429809789	996238	-161.537	-88.1276	-172.875	0.00671717	0.313162	-0.488074	-9.68546	0.0431104	-0.119751	
1429809790	46347	-161.884	-88.1404	-172.527	0.0111786	0.726946	-0.00736508	-9.70462	0.105381	-0.148491	
1429809790	96252	-161.659	-88.1453	-172.747	0.0989807	0.221103	0.23029	-9.66151	0.0718506	-0.143701	
1429809790	146354	-161.48	-88.1607	-172.923	-0.0532454	0.498823	0.308627	-9.67109	0.0670606	-0.124541	
1429809790	196234	-161.02	-88.1639	-173.375	0.11498	-0.0927868	0.369162	-9.65672	0.110171	-0.182021	
